brand,model,processor_brand,processor_model,processor_generation,processor_cores,processor_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,gpu_brand,gpu_model,gpu_memory_gb,ram_gb,ram_type,ram_speed_mhz,storage_type,storage_capacity_gb,screen_size_inches,screen_resolution,refresh_rate_hz,panel_type,touchscreen,operating_system,battery_capacity_wh,weight_kg,release_year,warranty_years,webcam_resolution,wifi_version,bluetooth_version,keyboard_backlit,fingerprint_sensor,price_rupees
Dell,G16 7630,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 3050,6,8,DDR5,4800,NVMe SSD,4096,16.0,2880x1800,120,OLED,No,Windows 11 Home,52,2.23,2025,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,147990
Microsoft,Surface Laptop Go 3,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,NVIDIA,GeForce MX550,2,8,DDR5,4800,SSD,2048,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,89,1.2,2024,2,1080p,Wi-Fi 6E,5.3,No,No,150990
Microsoft,Surface Laptop Go 3,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,Arc Graphics,0,64,DDR5,5600,SSD,1024,15.6,2560x1440,165,IPS,No,Windows 11 Home,60,2.33,2024,1,1080p,Wi-Fi 7,5.4,No,No,224990
HP,Pavilion x360 14-ek1000TU,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Arc Graphics,0,16,DDR4,3200,SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Home,51,2.47,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,106990
Samsung,Galaxy Book3 Pro 14,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-85,0,64,DDR5,5600,NVMe SSD,4096,15.6,1920x1080,60,IPS,No,Windows 11 Home,78,1.55,2022,1,1080p,Wi-Fi 7,5.4,Yes,Yes,221990
MSI,Raider GE78 HX 13VH,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 4050,6,16,DDR5,5200,SSD,1024,16.0,2560x1600,120,IPS,No,Windows 11 Home,66,2.89,2023,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,103990
ASUS,TUF Gaming F15 FX507ZC,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce RTX 4050,6,32,LPDDR5X,6400,SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Home,81,2.04,2025,1,1080p,Wi-Fi 7,5.4,Yes,No,185990
Samsung,Galaxy Book4 360,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce MX550,2,8,DDR5,4800,NVMe SSD,4096,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,63,1.48,2023,1,1080p,Wi-Fi 6,5.2,Yes,Yes,128990
Samsung,Galaxy Book4 Pro 14,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5070,8,64,DDR5,5600,SSD,2048,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,71,1.81,2024,3,720p,Wi-Fi 7,5.4,Yes,Yes,287990
Microsoft,Surface Laptop 5 13.5,Intel,Core i5-13450HX,13,10,16,2.4,4.6,Intel,Arc Graphics,0,8,DDR5,4800,SSD,2048,14.0,2880x1800,90,OLED,No,Windows 11 Pro,44,2.57,2024,3,1080p,Wi-Fi 7,5.4,Yes,Yes,102990
Dell,Latitude 7440,Intel,Core i3-1315U,13,6,8,1.2,4.5,Intel,UHD Graphics,0,32,LPDDR5X,6400,NVMe SSD,4096,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,98,2.28,2024,1,1080p,Wi-Fi 6E,5.3,No,Yes,141990
HP,Envy 14-eb0000TX,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,AMD,Radeon 610M,0,32,LPDDR5X,6400,NVMe SSD,2048,13.6,2560x1664,60,IPS,No,Windows 11 Pro,79,1.28,2025,1,1080p,Wi-Fi 7,5.4,Yes,No,125990
MSI,Stealth 14 Studio A13VE,AMD,Ryzen 5 7530U,3,6,12,2.0,4.5,AMD,Radeon 760M,0,16,DDR5,5200,SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Home,74,1.6,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,76990
Dell,Inspiron 16 5620,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-85,0,16,DDR4,3200,NVMe SSD,4096,15.6,1920x1080,60,IPS,Yes,Windows 11 Pro,91,1.31,2023,1,1080p,Wi-Fi 7,5.4,Yes,No,152990
Samsung,Galaxy Book3 15,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,AMD,Radeon 740M,0,32,LPDDR5X,6400,SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Pro,91,1.72,2023,1,1080p,Wi-Fi 6,5.2,No,No,134990
Acer,Aspire Go 14,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Iris Xe Graphics,0,16,LPDDR5,5200,SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Home,95,2.23,2025,1,1080p,Wi-Fi 6E,5.3,No,Yes,107990
Apple,MacBook Air M1 13,Apple,M3 Pro,3,11,11,4.05,4.05,Apple,Apple M3 Pro 14-core,0,32,LPDDR5,6400,SSD,1024,13.6,2560x1664,60,IPS,No,macOS Sequoia,94,1.34,2024,2,1080p,Wi-Fi 7,5.4,Yes,Yes,346739
Acer,Aspire 5 A515-57,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,Iris Xe Graphics,0,64,DDR5,5600,NVMe SSD,4096,16.0,2880x1800,120,OLED,No,Windows 11 Home,91,2.76,2024,2,1080p,Wi-Fi 7,5.4,No,Yes,196990
Huawei,MateBook 14 2023,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Iris Xe Graphics,0,16,DDR5,5200,SSD,512,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,62,2.57,2024,2,1080p,Wi-Fi 7,5.4,Yes,Yes,101990
Samsung,Galaxy Book3 Pro 14,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,16,DDR5,5200,NVMe SSD,512,16.0,2880x1800,120,OLED,Yes,Windows 11 Pro,94,2.56,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,105990
ASUS,Zenbook Duo UX8406MA,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Arc Graphics,0,64,DDR5,5600,NVMe SSD,512,14.0,2880x1800,120,OLED,Yes,Windows 11 Pro,49,2.08,2025,2,1080p,Wi-Fi 7,5.4,Yes,No,186990
Apple,MacBook Air M1 13,Apple,M3 Max,3,14,14,4.05,4.05,Apple,Apple M3 Max 30-core,0,64,LPDDR5,6400,NVMe SSD,512,13.6,2560x1664,60,IPS,No,macOS Sequoia,56,1.5,2022,3,1080p,Wi-Fi 7,5.4,Yes,Yes,673333
Gigabyte,Aorus 15 BSF,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,NVIDIA,GeForce RTX 4090,16,16,DDR5,5200,NVMe SSD,4096,15.6,2560x1440,165,IPS,No,Windows 11 Home,59,2.39,2024,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,316990
Apple,MacBook Air M1 13,Apple,M1,1,8,8,3.2,3.2,Apple,Apple M1 8-core,0,16,LPDDR5,6400,SSD,2048,13.6,2560x1664,60,IPS,No,macOS Sonoma,81,1.46,2024,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,140868
LG,Gram 14 2023,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-85,0,16,DDR4,3200,NVMe SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Pro,54,1.59,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,112990
Samsung,Galaxy Book3 15,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,Arc Graphics,0,64,DDR5,5600,SSD,2048,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,70,1.73,2023,2,720p,Wi-Fi 5,5.0,Yes,Yes,224990
ASUS,Vivobook 16 X1605VA,AMD,Ryzen 5 7530U,3,6,12,2.0,4.5,AMD,Radeon 760M,0,64,DDR5,5600,NVMe SSD,1024,15.6,1920x1080,144,IPS,Yes,Windows 11 Pro,47,2.31,2024,2,1080p,Wi-Fi 6E,5.3,No,Yes,154990
Gigabyte,G5 KF,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,Iris Xe Graphics,0,16,LPDDR5,5200,NVMe SSD,1024,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,96,2.1,2023,1,1080p,Wi-Fi 6E,5.3,Yes,No,140990
MSI,Modern 14 C12M,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Arc Graphics,0,32,LPDDR5X,6400,SSD,1024,14.0,1920x1200,60,IPS,Yes,Windows 11 Pro,86,1.83,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,110990
Apple,MacBook Air M2 15,Apple,M2,2,8,8,3.49,3.49,Apple,Apple M2 8-core,0,8,LPDDR5,6400,NVMe SSD,1024,15.3,2880x1864,60,IPS,No,macOS Sonoma,83,1.35,2024,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,59285
Razer,Blade 14 2023,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 2050,4,32,DDR5,5600,NVMe SSD,2048,17.3,1920x1080,144,IPS,No,Windows 11 Pro,70,2.1,2022,1,1080p,Wi-Fi 6E,5.3,Yes,No,149990
LG,Gram 14 2023,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,Iris Xe Graphics,0,8,DDR5,4800,NVMe SSD,1024,16.0,2560x1600,165,IPS,No,Windows 11 Home,92,2.24,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,108990
HP,Pavilion Plus 14-eh1000TU,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,AMD,Radeon 610M,0,16,DDR5,4800,SSD,2048,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,63,2.18,2025,3,1080p,Wi-Fi 6E,5.3,No,No,142990
LG,Gram 14 2023,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-85,0,32,LPDDR5X,7467,SSD,1024,17.3,1920x1080,144,IPS,Yes,Windows 11 Pro,74,2.62,2023,1,1080p,Wi-Fi 6,5.2,Yes,No,128990
MSI,Summit E14 Flip Evo,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 4080,12,16,LPDDR5,6400,NVMe SSD,4096,14.0,2880x1800,90,OLED,Yes,Windows 11 Home,58,1.94,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,255990
Razer,Blade 16 2024,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5050,8,32,LPDDR5X,7467,SSD,512,16.0,2560x1600,165,IPS,No,Windows 11 Home,71,2.03,2025,1,720p,Wi-Fi 6E,5.3,Yes,Yes,176990
Acer,Aspire 7 A715-76G,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Iris Xe Graphics,0,32,DDR5,5600,SSD,512,16.0,1920x1200,60,IPS,Yes,Windows 11 Home,98,1.91,2024,1,720p,Wi-Fi 7,5.4,Yes,Yes,128990
Microsoft,Surface Laptop Go 3,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,UHD Graphics,0,64,DDR5,5600,SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Home,85,1.39,2024,3,1080p,Wi-Fi 7,5.4,No,Yes,192990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 3050,6,32,LPDDR5X,7467,NVMe SSD,2048,15.6,1920x1080,144,IPS,No,Windows 11 Pro,70,1.55,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,145990
Huawei,MateBook 14 2023,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-45,0,32,DDR5,5600,NVMe SSD,512,16.0,1920x1200,60,IPS,Yes,Windows 11 Home,77,2.03,2022,3,1080p,Wi-Fi 6,5.2,Yes,No,136990
Lenovo,ThinkPad T14 Gen 3,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,Iris Xe Graphics,0,16,LPDDR5,6400,SSD,1024,16.0,2880x1800,120,OLED,No,Windows 11 Home,86,2.8,2025,2,1080p,Wi-Fi 7,5.4,Yes,No,106990
HP,Victus 15-fb0147AX,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce RTX 4070,8,32,LPDDR5X,7467,NVMe SSD,1024,15.6,1920x1080,144,IPS,No,Windows 11 Home,48,1.6,2025,1,1080p,Wi-Fi 7,5.4,Yes,No,203990
Gigabyte,G5 KF,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,AMD,Radeon 780M,0,32,LPDDR5X,6400,NVMe SSD,2048,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,95,1.43,2025,1,720p,Wi-Fi 6E,5.3,No,No,126990
Lenovo,ThinkPad L14 Gen 4,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,AMD,Radeon 780M,0,32,LPDDR5X,6400,SSD,1024,15.6,1920x1080,144,IPS,No,Windows 11 Home,55,1.97,2022,1,1080p,Wi-Fi 6E,5.3,Yes,No,128990
Acer,Swift X 14 SFX14-71G,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,AMD,Radeon 740M,0,16,DDR5,5200,NVMe SSD,4096,17.3,1920x1080,144,IPS,Yes,Windows 11 Home,92,1.99,2023,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,153990
Razer,Blade 14 2023,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 4050,6,32,LPDDR5X,6400,SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Home,53,2.38,2024,3,1080p,Wi-Fi 6E,5.3,Yes,No,163990
Samsung,Galaxy Book3 Pro 360,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,NVIDIA,GeForce RTX 4050,6,8,DDR5,4800,SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Home,54,1.99,2025,3,1080p,Wi-Fi 7,5.4,Yes,No,116990
HP,Envy 14-eb0000TX,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,Arc Graphics,0,32,LPDDR5X,7467,NVMe SSD,2048,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,76,1.66,2023,2,720p,Wi-Fi 6,5.2,Yes,No,135990
Samsung,Galaxy Book3 15,Intel,Core i7-13620H,13,10,16,2.4,4.9,Intel,Arc Graphics,0,16,DDR5,5200,SSD,256,15.6,2560x1440,165,IPS,Yes,Windows 11 Pro,57,2.42,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,97990
Samsung,Galaxy Book4 15,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,AMD,Radeon 740M,0,16,LPDDR5,6400,SSD,1024,16.0,1920x1200,60,IPS,No,Windows 11 Home,98,2.52,2024,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,59990
MSI,Modern 15 B12M,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,AMD,Radeon 740M,0,32,DDR5,5600,SSD,1024,13.6,2560x1664,60,IPS,No,Windows 11 Home,62,1.37,2023,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,131990
Samsung,Galaxy Book4 15,AMD,Ryzen 7 7730U,3,8,16,2.0,4.5,AMD,Radeon 740M,0,8,DDR4,3200,NVMe SSD,4096,16.0,1920x1200,60,IPS,Yes,Windows 11 Home,97,1.77,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,115990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 3050,6,32,LPDDR5X,7467,NVMe SSD,4096,14.0,2880x1800,120,OLED,No,Windows 11 Home,84,2.61,2025,2,1080p,Wi-Fi 7,5.4,Yes,Yes,191990
Lenovo,ThinkPad L14 Gen 4,AMD,Ryzen 7 7730U,3,8,16,2.0,4.5,AMD,Radeon 610M,0,32,LPDDR5X,6400,SSD,512,16.0,1920x1200,60,IPS,No,Windows 11 Pro,76,2.36,2023,1,1080p,Wi-Fi 5,5.0,Yes,Yes,94990
Apple,MacBook Pro M2 Max 16,Apple,M3 Pro,3,11,11,4.05,4.05,Apple,Apple M3 Pro 14-core,0,32,LPDDR5,6400,SSD,1024,16.2,3456x2234,120,Liquid Retina XDR,No,macOS Sequoia,74,2.17,2024,2,720p,Wi-Fi 6E,5.3,Yes,Yes,358129
Huawei,MateBook D15 2023,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,UHD Graphics,0,32,DDR5,5600,NVMe SSD,512,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,45,1.04,2022,3,720p,Wi-Fi 5,5.0,Yes,No,108990
Gigabyte,G5 KF,Intel,Core i5-1235U,12,10,12,1.3,4.4,NVIDIA,GeForce RTX 2050,4,32,LPDDR5X,7467,NVMe SSD,4096,14.0,1920x1200,60,IPS,Yes,Windows 11 Home,48,2.41,2023,3,1080p,Wi-Fi 7,5.4,Yes,No,158990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 4050,6,24,DDR5,4800,SSD,256,16.0,2560x1600,120,IPS,No,Windows 11 Home,55,2.34,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,129990
LG,Gram 16 2023,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 4060,8,32,LPDDR5X,7467,NVMe SSD,2048,17.3,1920x1080,144,IPS,No,Windows 11 Home,87,1.97,2023,1,1080p,Wi-Fi 6,5.2,No,Yes,183990
Samsung,Galaxy Book4 360,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,AMD,Radeon 610M,0,32,DDR5,5600,SSD,512,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,88,2.27,2025,1,1080p,Wi-Fi 6E,5.3,No,Yes,145990
Huawei,MateBook 14 2023,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,UHD Graphics,0,24,DDR5,4800,SSD,256,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,77,1.85,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,127990
HP,Victus 15-fa1327TX,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5070,8,32,DDR5,5600,SSD,1024,16.0,2560x1600,165,IPS,No,Windows 11 Home,51,2.42,2024,3,720p,Wi-Fi 7,5.4,Yes,No,209990
Lenovo,LOQ 15ARP9,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce RTX 5050,8,8,DDR5,4800,SSD,2048,16.0,2880x1800,120,OLED,No,Windows 11 Home,79,2.7,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,128990
ASUS,ROG Strix G16 G614JV,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 3050,6,16,LPDDR5,6400,SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Home,57,2.32,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,108990
Huawei,MateBook X Pro 2023,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,UHD Graphics,0,16,LPDDR5,6400,NVMe SSD,2048,15.6,1920x1080,144,IPS,No,Windows 11 Pro,94,2.28,2024,3,720p,Wi-Fi 6E,5.3,No,Yes,115990
ASUS,Vivobook 16 X1605VA,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,AMD,Radeon 740M,0,24,DDR5,4800,SSD,512,14.0,1920x1200,60,IPS,No,Windows 11 Pro,89,1.52,2024,2,1080p,Wi-Fi 6E,5.3,Yes,No,89990
HP,Omen Transcend 14-fb0000TX,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 3050,6,32,DDR5,5600,NVMe SSD,4096,14.0,2880x1800,90,OLED,No,Windows 11 Home,78,2.14,2022,1,720p,Wi-Fi 6E,5.3,Yes,Yes,207990
Gigabyte,Aorus 15 BSF,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 4090,16,32,LPDDR5X,6400,NVMe SSD,1024,15.6,2560x1440,165,IPS,No,Windows 11 Home,50,2.41,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,283990
Acer,Aspire 7 A715-76G,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Arc Graphics,0,8,DDR4,3200,NVMe SSD,2048,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,74,1.24,2023,1,1080p,Wi-Fi 6E,5.3,Yes,No,101990
ASUS,TUF Gaming F15 FX507ZC,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 4070,8,32,DDR5,5600,SSD,1024,14.0,1920x1200,60,IPS,No,Windows 11 Home,52,2.04,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,188990
Huawei,MateBook D15 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,Arc Graphics,0,8,DDR4,3200,NVMe SSD,2048,17.3,1920x1080,144,IPS,Yes,Windows 11 Pro,90,2.3,2022,2,1080p,Wi-Fi 6,5.2,No,No,74990
ASUS,ROG Strix G16 G614JV,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 5070,8,16,DDR5,5200,NVMe SSD,1024,16.0,2560x1600,165,IPS,No,Windows 11 Home,77,2.4,2023,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,161990
Lenovo,ThinkPad X1 Carbon Gen 11,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,Iris Xe Graphics,0,16,LPDDR5,6400,SSD,2048,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,55,2.52,2025,2,1080p,Wi-Fi 6E,5.3,Yes,No,134990
Huawei,MateBook 14 2023,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,UHD Graphics,0,16,DDR5,4800,SSD,2048,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,97,2.56,2024,2,1080p,Wi-Fi 7,5.4,Yes,Yes,107990
Samsung,Galaxy Book3 15,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,AMD,Radeon 760M,0,32,LPDDR5X,6400,NVMe SSD,2048,13.3,1920x1200,60,IPS,Yes,Windows 11 Pro,63,1.07,2025,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,126990
Huawei,MateBook D15 2023,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 5050,8,32,LPDDR5X,6400,SSD,1024,16.0,2560x1600,165,IPS,No,Windows 11 Home,95,2.15,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,182990
HP,15s-fq5000TU,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,UHD Graphics,0,16,LPDDR5,5200,SSD,512,15.6,1920x1080,60,IPS,No,Windows 11 Pro,89,1.37,2023,1,720p,Wi-Fi 6,5.2,Yes,No,47990
Infinix,InBook X2 Slim,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,Arc Graphics,0,8,DDR5,4800,SSD,1024,14.0,1920x1200,60,IPS,No,Windows 11 Home,76,2.47,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,88990
Dell,G16 7630,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce RTX 2050,4,8,DDR5,4800,NVMe SSD,2048,15.6,2560x1440,165,IPS,No,Windows 11 Home,49,2.3,2024,2,1080p,Wi-Fi 6E,5.3,Yes,No,105990
HP,Omen 16-wd0000TX,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce RTX 3050,6,8,DDR5,4800,NVMe SSD,512,16.0,2560x1600,165,IPS,No,Windows 11 Pro,90,2.7,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,97990
MSI,Katana 15 B13VFK,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 5060,8,16,DDR5,5200,SSD,256,15.6,2560x1440,165,IPS,No,Windows 11 Pro,89,1.8,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,149990
Gigabyte,G5 KF,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,AMD,Radeon 610M,0,8,DDR5,4800,SSD,256,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,76,2.12,2022,1,1080p,Wi-Fi 6,5.2,Yes,No,89990
MSI,Prestige 14 EVO B13M,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Arc Graphics,0,16,DDR5,4800,NVMe SSD,4096,14.0,2880x1800,120,OLED,No,Windows 11 Home,70,2.48,2022,1,720p,Wi-Fi 5,5.0,Yes,Yes,148990
Dell,XPS 15 9530,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,UHD Graphics,0,16,DDR4,3200,SSD,512,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,97,1.03,2025,2,1080p,Wi-Fi 7,5.4,Yes,Yes,67990
ASUS,ROG Zephyrus G14 GA402XY,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce RTX 3050,6,16,DDR4,3200,SSD,512,13.3,1920x1200,60,IPS,No,Windows 11 Pro,51,1.47,2024,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,91990
Infinix,InBook X2 Slim,AMD,Ryzen 5 7520U,3,4,8,2.8,4.3,AMD,Radeon 610M,0,16,DDR4,3200,SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Pro,98,1.94,2023,1,720p,Wi-Fi 6,5.2,Yes,No,65990
ASUS,Vivobook S14 S3407CA,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,Arc Graphics,0,16,DDR5,5200,NVMe SSD,2048,16.0,1920x1200,60,IPS,No,Windows 11 Pro,78,2.51,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,125990
MSI,Modern 14 C12M,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,AMD,Radeon 780M,0,16,DDR4,3200,NVMe SSD,4096,13.3,1920x1200,60,IPS,Yes,Windows 11 Home,79,1.41,2024,3,720p,Wi-Fi 6E,5.3,Yes,No,126990
Gigabyte,G5 KF,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Iris Xe Graphics,0,16,LPDDR5,5200,SSD,2048,14.0,2880x1800,90,OLED,Yes,Windows 11 Home,86,1.66,2025,2,1080p,Wi-Fi 6E,5.3,No,No,125990
Infinix,Zero Book Ultra,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,AMD,Radeon 760M,0,16,LPDDR5,5200,NVMe SSD,2048,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,70,2.6,2023,1,1080p,Wi-Fi 6,5.2,Yes,Yes,74990
Dell,Latitude 5440,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Iris Xe Graphics,0,16,LPDDR5,6400,SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Pro,54,1.86,2024,2,1080p,Wi-Fi 6E,5.3,No,Yes,98990
HP,Pavilion 14-ec1000AU,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,16,DDR5,5200,SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Pro,68,1.86,2024,1,1080p,Wi-Fi 7,5.4,No,Yes,100990
